,tmax,tmax,tmax,tmin,tmin,tmin,humedad,precipitacion
,min,max,mean,min,max,mean,mean,sum
año,,,,,,,,
2018,19.8,26.4,21.59,10.8,18.0,12.7,90.3,0.7
2019,15.2,30.2,22.61,11.2,22.2,16.24,88.67,2.0
2020,15.2,30.8,22.42,10.2,21.8,15.43,86.91,7.3
2021,14.8,26.8,19.99,10.0,18.2,13.57,85.79,4.5
2022,14.6,25.4,18.93,7.2,17.4,10.98,85.04,0.7
2023,17.6,26.4,21.26,7.0,16.0,10.99,84.13,5.0
2024,15.0,27.4,20.01,7.8,17.4,12.86,86.46,6.1
2025,16.0,26.4,20.01,12.0,21.4,15.76,85.48,5.3
2026,22.0,25.0,23.34,16.2,20.0,18.1,85.85,0.3
